"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Shaquille O'Neal,"1995",22,11.4,2.7,0.9,2.4,2.6,29.3,0.588,0.003,0.536,0.23,0.695,1,1
David Robinson,"1995",29,10.8,2.9,1.7,3.2,2.9,27.6,0.602,0.013,0.57,0.273,0.756,1,1
Scottie Pippen,"1995",29,8.1,5.2,2.9,1.1,3.4,21.4,0.559,0.239,0.333,0.188,0.573,1,1
Charles Barkley,"1995",31,11.1,4.1,1.6,0.7,2.2,23.0,0.572,0.192,0.444,0.214,0.72,1,1
Reggie Miller,"1995",29,2.6,3.0,1.2,0.2,1.9,19.6,0.62,0.43,0.391,0.204,0.634,1,1
Hakeem Olajuwon,"1995",32,10.8,3.5,1.8,3.4,3.3,27.8,0.563,0.01,0.348,0.181,0.573,1,1
Mitch Richmond,"1995",29,4.4,3.8,1.1,0.4,2.9,22.8,0.551,0.283,0.297,0.12,0.476,1,1
Michael Jordan,"1996",32,6.6,4.3,2.2,0.5,2.4,30.4,0.582,0.141,0.355,0.317,0.878,1,1
Scottie Pippen,"1996",30,6.4,5.9,1.7,0.7,2.7,19.4,0.551,0.33,0.266,0.209,0.878,1,1
Gary Payton,"1996",27,4.2,7.5,2.9,0.2,3.2,19.3,0.554,0.234,0.24,0.174,0.78,1,1
Shawn Kemp,"1996",26,11.4,2.2,1.2,1.6,4.0,19.6,0.631,0.013,0.709,0.205,0.78,1,1
David Robinson,"1996",30,12.2,3.0,1.4,3.3,2.3,25.0,0.589,0.007,0.597,0.29,0.72,1,1
Shaquille O'Neal,"1996",23,11.0,2.9,0.6,2.1,2.9,26.6,0.57,0.002,0.495,0.171,0.732,1,1
Reggie Miller,"1996",30,2.8,3.3,1.0,0.2,2.5,21.1,0.625,0.385,0.467,0.188,0.634,1,1
Grant Hill,"1996",23,9.8,6.9,1.3,0.6,3.3,20.2,0.537,0.021,0.529,0.172,0.561,1,1
Hakeem Olajuwon,"1996",33,10.9,3.6,1.6,2.9,3.4,26.9,0.558,0.009,0.367,0.166,0.585,1,1
Juwan Howard,"1996",22,8.1,4.4,0.8,0.5,3.7,22.1,0.53,0.009,0.284,0.082,0.476,1,1
Charles Barkley,"1996",32,11.6,3.7,1.6,0.8,3.1,23.2,0.585,0.151,0.488,0.191,0.5,1,1
Mitch Richmond,"1996",30,3.3,3.1,1.5,0.2,2.7,23.1,0.591,0.376,0.359,0.151,0.476,1,1
Michael Jordan,"1997",33,5.9,4.3,1.7,0.5,2.0,29.6,0.567,0.157,0.304,0.283,0.841,1,1
