"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
John Johnson,"1981",4.5,3.9,1.0,11.5,0.479,0.025,0.415,0
Marques Johnson,"1981",6.8,4.6,2.1,20.3,0.583,0.211,0.732,1
Mickey Johnson,"1981",6.6,3.5,2.0,12.5,0.516,0.121,0.732,0
Reggie Johnson,"1981",4.5,1.0,1.2,10.2,0.527,0.085,0.634,0
Vinnie Johnson,"1981",4.5,4.2,1.2,13.0,0.583,0.122,0.415,0
Bobby Jones,"1981",5.4,2.8,2.1,13.5,0.604,0.217,0.756,1
Caldwell Jones,"1981",10.0,1.5,2.3,7.2,0.512,0.1,0.756,0
Dwight Jones,"1981",5.0,1.2,0.9,7.6,0.532,0.089,0.549,0
Rich Kelley,"1981",5.4,3.5,1.8,7.0,0.58,0.121,0.695,0
Larry Kenon,"1981",5.2,1.6,1.2,14.1,0.516,0.092,0.549,0
Bernard King,"1981",6.8,3.5,1.3,21.9,0.617,0.15,0.476,0
Reggie King,"1981",9.7,1.5,1.8,14.9,0.583,0.145,0.488,0
Billy Knight,"1981",5.0,1.9,1.2,17.5,0.596,0.17,0.537,0
Mitch Kupchak,"1981",6.9,0.8,0.8,12.5,0.571,0.13,0.476,0
Sam Lacey,"1981",7.1,4.9,2.6,6.9,0.483,0.086,0.488,0
Tom LaGarde,"1981",8.1,2.9,1.0,13.7,0.518,0.048,0.183,0
Bill Laimbeer,"1981",8.6,2.7,1.7,9.8,0.536,0.104,0.341,0
Bob Lanier,"1981",6.2,2.7,2.3,14.3,0.573,0.185,0.732,0
Allen Leavell,"1981",1.7,4.9,1.4,8.1,0.523,0.055,0.488,0
Ron Lee,"1981",2.7,4.4,2.4,4.2,0.435,0.037,0.256,0
Scott Lloyd,"1981",6.3,2.2,0.8,8.8,0.5,0.021,0.183,0
John Long,"1981",3.3,1.8,2.0,17.7,0.503,0.065,0.256,0
John Lucas,"1981",2.3,7.0,1.3,8.4,0.487,0.032,0.476,0
Maurice Lucas,"1981",8.5,2.5,1.7,14.7,0.528,0.078,0.293,0
Moses Malone,"1981",14.8,1.8,2.9,27.8,0.585,0.202,0.488,1
Cedric Maxwell,"1981",6.5,2.7,1.8,15.2,0.651,0.193,0.756,0
George McGinnis,"1981",7.7,3.0,1.8,13.1,0.482,0.045,0.537,0
Kevin McHale,"1981",4.4,0.7,2.2,10.0,0.556,0.137,0.756,0
Tom McMillen,"1981",3.7,0.9,0.6,7.4,0.518,0.066,0.378,0
Joe Meriweather,"1981",5.3,1.0,1.4,7.6,0.55,0.083,0.488,0
Mike Mitchell,"1981",6.1,1.7,1.4,24.5,0.513,0.091,0.341,1
Paul Mokeski,"1981",5.2,1.7,1.4,7.1,0.52,0.046,0.256,0
Sidney Moncrief,"1981",5.1,3.3,1.6,14.0,0.614,0.196,0.732,0
Johnny Moore,"1981",2.4,4.5,1.7,7.4,0.507,0.099,0.634,0
Calvin Murphy,"1981",1.1,2.9,1.5,16.7,0.542,0.128,0.488,0
Swen Nater,"1981",12.4,2.4,1.2,15.6,0.597,0.147,0.439,0
Calvin Natt,"1981",5.8,2.1,1.2,13.4,0.541,0.095,0.549,0
Mike Newlin,"1981",2.8,3.8,1.2,21.4,0.571,0.1,0.293,0
Norm Nixon,"1981",2.9,8.8,2.0,17.1,0.511,0.089,0.659,0
Mike O'Koren,"1981",6.1,3.2,1.4,11.0,0.515,0.075,0.293,0
Mark Olberding,"1981",5.7,3.4,1.3,12.3,0.594,0.132,0.634,0
Louis Orr,"1981",4.4,1.6,1.0,10.5,0.538,0.116,0.537,0
Tom Owens,"1981",5.8,1.8,1.1,10.6,0.564,0.125,0.549,0
Robert Parish,"1981",9.5,1.8,3.6,18.9,0.579,0.228,0.756,1
Billy Paultz,"1981",4.8,1.3,1.2,7.4,0.513,0.077,0.488,0
Jim Paxson,"1981",2.7,3.8,1.9,17.1,0.564,0.136,0.549,0
Roger Phegley,"1981",3.0,2.2,1.0,14.4,0.545,0.078,0.341,0
Ben Poquette,"1981",7.7,2.0,2.9,9.5,0.567,0.092,0.341,0
Kevin Porter,"1981",1.5,9.1,1.5,13.4,0.561,0.119,0.476,0
Kelvin Ransey,"1981",2.4,6.9,1.2,15.2,0.484,0.056,0.549,0
Robert Reid,"1981",7.1,4.2,2.8,15.9,0.522,0.116,0.488,0
Micheal Ray Richardson,"1981",6.9,7.9,3.4,16.4,0.511,0.104,0.61,1
Rick Robey,"1981",4.8,1.5,0.7,9.0,0.563,0.114,0.756,0
