"Player","Year","Age","ORPG","DRPG","RPG","APG","SPG","BPG","TOPG","PPG","PER","TS","3PAr","FTr","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","allstarFlag","allNBAFlag","Perc"
Scottie Pippen,"1993",27,2,5,7,6,2,0,3,18,19.2,0.51,0.07,0.264,3.8,4.8,8.6,0.132,2.6,1.4,4.0,4.7,1,1,0.695
Mark Price,"1993",28,0,2,2,8,1,0,2,18,22.1,0.609,0.297,0.309,7.4,2.3,9.8,0.197,5.8,-0.6,5.3,4.4,1,1,0.659
David Robinson,"1993",27,2,8,11,3,1,3,2,23,24.2,0.569,0.013,0.568,6.7,6.4,13.2,0.197,3.6,2.7,6.4,6.8,1,1,0.598
Dominique Wilkins,"1993",33,2,4,6,3,0,0,2,29,24.3,0.57,0.199,0.396,9.1,1.4,10.5,0.191,7.1,-1.7,5.4,4.9,1,1,0.524
Charles Barkley,"1994",30,3,8,11,4,1,0,3,21,22.8,0.563,0.17,0.432,5.6,3.3,8.8,0.185,4.5,0.7,5.2,4.2,1,1,0.683
Derrick Coleman,"1994",26,3,7,11,3,0,1,2,20,21.4,0.534,0.1,0.469,5.5,4.4,9.9,0.171,3.3,1.0,4.3,4.4,1,1,0.549
Kevin Johnson,"1994",27,0,1,2,9,1,0,3,20,20.6,0.566,0.028,0.473,7.0,1.7,8.7,0.17,4.1,-0.7,3.4,3.4,1,1,0.683
Shawn Kemp,"1994",24,3,6,10,2,1,2,3,18,22.9,0.593,0.004,0.496,5.6,6.0,11.7,0.216,2.4,2.0,4.4,4.2,1,1,0.768
Shaquille O'Neal,"1994",21,4,8,13,2,0,2,2,29,28.5,0.605,0.001,0.534,12.1,4.8,16.9,0.252,6.2,0.6,6.8,7.2,1,1,0.61
Hakeem Olajuwon,"1994",31,2,9,11,3,1,3,3,27,25.3,0.565,0.011,0.32,6.4,7.9,14.3,0.21,3.5,3.3,6.8,7.3,1,1,0.707
Gary Payton,"1994",25,1,2,3,6,2,0,2,16,17.8,0.526,0.047,0.241,5.2,4.1,9.3,0.155,1.9,1.2,3.1,3.7,1,1,0.768
