Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LeBron James,jamesle01,2022,SF,37,LAL,10,369,20.7,.574,.422,.226,1.4,13.2,7.4,30.7,2.3,1.7,15.1,29.8,0.5,0.4,0.9,.111,2.9,-0.7,2.2,0.4
DeJon Jarreau,jarrede01,2022,SG,24,IND,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.003,-7.6,-2.3,-9.9,0.0
Ty Jerome,jeromty01,2022,SG,24,OKC,16,211,16.0,.521,.620,.239,2.8,7.2,5.0,15.0,2.8,0.9,3.8,21.5,0.3,0.2,0.6,.129,-0.2,1.5,1.3,0.2
Isaiah Joe,joeis01,2022,SG,22,PHI,12,118,7.3,.481,.773,.091,1.9,12.9,7.5,7.3,0.0,0.0,8.0,19.0,0.0,0.0,0.0,-0.016,-2.6,-3.8,-6.3,-0.1
Alize Johnson,johnsal02,2022,PF,25,CHI,13,97,13.9,.582,.048,.238,14.6,19.1,16.9,11.5,1.5,0.0,20.5,13.3,0.2,0.1,0.3,.140,-0.9,-1.9,-2.8,0.0
Cameron Johnson,johnsca02,2022,PF,25,PHO,19,422,11.3,.539,.620,.134,1.5,13.2,7.6,7.2,1.6,0.8,6.8,16.6,0.3,0.6,0.8,.092,-1.0,-0.4,-1.4,0.1
David Johnson,johnsda08,2022,SG,20,TOR,1,0,,,,,,,,,,,,,0.0,0.0,0.0,,-8.7,-2.7,-11.4,0.0
Jalen Johnson,johnsja05,2022,PF,20,ATL,7,19,23.9,.643,.400,.200,0.0,27.5,14.1,0.0,0.0,0.0,0.0,24.9,0.1,0.0,0.1,.203,6.1,-2.0,4.1,0.0
James Johnson,johnsja01,2022,PF,34,BRK,11,168,8.2,.430,.244,.244,5.2,16.7,11.2,14.0,1.4,1.6,11.7,13.5,0.0,0.2,0.2,.054,-4.6,0.1,-4.4,-0.1
Keldon Johnson,johnske04,2022,SF,22,SAS,18,562,14.2,.528,.222,.261,3.7,18.6,11.0,9.4,1.5,0.6,9.2,21.5,0.2,0.5,0.8,.065,-1.2,-1.3,-2.5,-0.1
Keon Johnson,johnske07,2022,SG,19,LAC,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.024,-6.7,1.0,-5.7,0.0
Nikola Jokic,jokicni01,2022,C,26,DEN,14,454,35.3,.668,.251,.309,9.1,37.1,22.9,38.9,1.9,2.7,14.0,31.5,2.3,0.8,3.1,.328,10.0,5.0,15.1,2.0
Damian Jones,jonesda03,2022,C,26,SAC,8,65,20.2,.686,.133,.600,16.5,19.5,18.0,9.0,0.0,2.7,9.5,13.7,0.3,0.0,0.3,.213,2.5,-1.1,1.4,0.1
