Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Don Ford,forddo01,1982,SF,29,CLE,21,201,3.7,.432,.042,.250,7.4,12.6,9.8,6.7,1.9,0.0,36.0,8.5,,-0.2,0.1,-0.1,-0.035,,-4.8,0.0,-4.8,-0.2
Phil Ford,fordph01,1982,PG,25,KCK,72,1952,11.4,.494,.049,.256,1.3,4.8,3.0,30.4,1.5,0.0,21.2,19.2,,-0.2,1.1,0.9,.021,,-1.0,-2.0,-3.0,-0.5
World B. Free,freewo01,1982,SG,28,GSW,78,2796,18.2,.515,.039,.446,4.5,5.2,4.8,21.7,1.2,0.2,10.7,28.0,,5.6,1.3,6.9,.118,,2.4,-1.9,0.5,1.8
Mike Gale,galemi01,1982,PG,31,GSW,75,1793,10.9,.524,.013,.174,2.2,9.4,5.7,17.8,3.2,0.9,23.9,11.9,,0.3,2.1,2.4,.063,,-2.0,2.3,0.4,1.1
Calvin Garrett,garreca01,1982,SF,25,HOU,51,858,8.4,.454,.041,.107,3.4,8.9,6.1,11.6,1.8,0.4,13.0,13.9,,0.0,0.6,0.6,.035,,-3.3,0.4,-3.0,-0.2
George Gervin,gervige01,1982,SG,29,SAS,79,2817,24.2,.562,.018,.323,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35.0,,8.7,2.0,10.7,.182,,5.4,-1.5,3.9,4.2
Artis Gilmore,gilmoar01,1982,C,32,CHI,82,2796,22.4,.702,.001,.659,9.5,23.7,16.9,7.5,0.8,4.3,17.4,19.6,,8.3,3.8,12.1,.208,,3.0,1.3,4.3,4.4
Mike Glenn,glennmi01,1982,SG,26,ATL,49,833,16.0,.587,.007,.230,0.7,7.6,4.1,16.9,1.6,0.2,7.8,18.1,,2.0,0.8,2.8,.161,,0.7,0.9,1.6,0.8
Mike Gminski,gminsmi01,1982,C,22,NJN,64,740,15.3,.520,.000,.437,10.6,17.9,14.2,7.7,1.1,3.8,14.8,20.4,,0.6,1.2,1.8,.119,,-0.6,0.7,0.1,0.4
Glen Gondrezick,gondrgl01,1982,SF,26,DEN,80,1699,14.9,.559,.006,.438,9.1,17.4,13.3,10.4,2.4,1.1,14.5,15.4,,2.6,1.0,3.6,.102,,0.5,0.0,0.4,1.0
Rickey Green,greenri01,1982,PG,27,UTA,81,2822,17.4,.531,.008,.260,3.2,6.1,4.6,29.7,3.0,0.2,14.9,18.8,,4.3,1.4,5.7,.096,,1.8,-0.3,1.4,2.4
Dave Greenwood,greenda01,1982,PF,24,CHI,82,2914,15.5,.525,.003,.287,7.8,22.2,15.3,13.2,1.2,1.8,13.6,19.0,,3.2,3.2,6.5,.107,,0.1,0.5,0.6,1.9
Kevin Grevey,greveke01,1982,SG,28,WSB,71,2164,11.7,.502,.096,.225,2.9,6.8,4.9,10.1,1.0,0.6,9.2,20.1,,1.2,2.4,3.6,.080,,-1.1,-0.1,-1.2,0.4
Paul Griffin,griffpa01,1982,PF,28,SAS,23,459,8.5,.535,.000,.561,6.8,15.4,11.1,13.6,2.0,1.0,32.7,10.6,,-0.1,0.5,0.4,.040,,-2.9,1.4,-1.5,0.1
Darrell Griffith,griffda01,1982,SG,23,UTA,80,2597,15.8,.511,.036,.190,5.2,7.5,6.3,10.8,1.7,0.7,11.1,26.8,,1.4,0.7,2.1,.038,,0.2,-2.1,-1.9,0.0
Bob Gross,grossbo01,1982,SF,28,POR,59,1377,13.8,.581,.019,.323,8.3,12.7,10.5,11.5,2.6,1.7,19.3,13.6,,1.5,1.6,3.1,.108,,0.3,1.5,1.8,1.3
Ernie Grunfeld,grunfer01,1982,SG,26,KCK,81,1892,17.2,.558,.017,.279,3.2,7.7,5.4,21.3,1.8,1.2,13.8,23.1,,2.8,1.5,4.3,.110,,1.7,0.0,1.7,1.8
